Common_Name,Genus,Species,Variety,Subspecies,PLANTS_Code
sea putat,Barringtonia,asiatica,NA,NA,BAAS3
langaasag,Barringtonia,racemosa,NA,NA,BARA5
falaga,Barringtonia,samoensis,NA,NA,BASA9
Bastardiopsis eggersii,Bastardiopsis,eggersii,NA,NA,BAEG6
Texasplume,Bauhinia,lunarioides,NA,NA,BALU
Napoleon's plume,Bauhinia,monandra,NA,NA,BAMO2
petite flamboyant bauhinia,Bauhinia,multinervia,NA,NA,BAMU3
railroadfence,Bauhinia,pauletia,NA,NA,BAPA3
butterfly tree,Bauhinia,purpurea,NA,NA,BAPU
StNA Thomas tree,Bauhinia,tomentosa,NA,NA,BATO
mountain ebony,Bauhinia,variegata,NA,NA,BAVA
bauhinia,Bauhinia,x blakeana,NA,NA,BABL
slugwood,Beilschmiedia,pendula,NA,NA,BEPE
Caribbean myrtlecroton,Bernardia,dichotoma,NA,NA,BEDI2
yellow birch,Betula,alleghaniensis,NA,NA,BEAL2
sweet birch,Betula,lenta,NA,NA,BELE
resin birch,Betula,neoalaskana,NA,NA,BENE4
river birch,Betula,nigra,NA,NA,BENI
water birch,Betula,occidentalis,NA,NA,BEOC2
paper birch,Betula,papyrifera,NA,NA,BEPA
European white birch,Betula,pendula,NA,NA,BEPE3
Asian white birch,Betula,platyphylla,NA,NA,BEPL2
gray birch,Betula,populifolia,NA,NA,BEPO
downy birch,Betula,pubescens,NA,NA,BEPU5
Virginia roundleaf birch,Betula,uber,NA,NA,BEUB
northwestern paper birch,Betula,x utahensis,NA,NA,BEUT
Javanese bishopwood,Bischofia,javanica,NA,NA,BIJA
lipsticktree,Bixa,orellana,NA,NA,BIOR
akee,Blighia,sapida,NA,NA,BLSA2
akupa,Bobea,brevipes,NA,NA,BOBR3
ahakea lau nui,Bobea,elatior,NA,NA,BOEL3
Hawaii dogweed,Bobea,sandwicensis,NA,NA,BOSA2
ahakea,Bobea,timonioides,NA,NA,BOTI
parrotweed,Bocconia,frutescens,NA,NA,BOFR2
virgata,Boehmeria,virgata,NA,NA,BOVI7
white alling,Bontia,daphnoides,NA,NA,BODA
Bourreria radula,Bourreria,radula,NA,NA,BORA2
bodywood,Bourreria,succulenta,NA,NA,BOSU2
roble de guayo,Bourreria,virgata,NA,NA,BOVI2
pink flame tree,Brachychiton,discolor,NA,NA,BRDI6
whiteflower kurrajong,Brachychiton,populneum,NA,NA,BRPO6
paper mulberry,Broussonetia,papyrifera,NA,NA,BRPA4
angels-trumpet,Brugmansia,candida,NA,NA,BRCA12
Oriental mangrove,Bruguiera,gymnorhiza,NA,NA,BRGY3
smallflower bruguiera,Bruguiera,parviflora,NA,NA,BRPA15
Oriental mangrove,Bruguiera,sexangula,NA,NA,BRSE11
West Indian sumac,Brunellia,comocladiifolia,NA,NA,BRCO6
American brunfelsia,Brunfelsia,americana,NA,NA,BRAM4
Serpentine Hill raintree,Brunfelsia,densifolia,NA,NA,BRDE4
vega blanca,Brunfelsia,lactea,NA,NA,BRLA5
Puerto Rico raintree,Brunfelsia,portoricensis,NA,NA,BRPO3
omail,Buchanania,engleriana,NA,NA,BUEN
gasu,Buchanania,merrillii,NA,NA,BUME4
"omail, deuachel",Buchanania,palawensis,NA,NA,BUPA16
fourleaf buchenavia,Buchenavia,tetraphylla,NA,NA,BUTE4
gregorywood,Bucida,buceras,NA,NA,BUBU
cafe falso,Bunchosia,glandulifera,NA,NA,BUGL2
cafe forastero,Bunchosia,glandulosa,NA,NA,BUGL
Bunchosia polystachia,Bunchosia,polystachia,NA,NA,BUPO5
Burckella richii,Burckella,richii,NA,NA,BURI3
gumbo limbo,Bursera,simaruba,NA,NA,BUSI
South American jelly palm,Butia,capitata,NA,NA,BUCA15
Buxus laevigata,Buxus,laevigata,NA,NA,BULA10
Vahl's box,Buxus,vahlii,NA,NA,BUVA
maricao cimun,Byrsonima,crassifolia,NA,NA,BYCR
Long Key locustberry,Byrsonima,lucida,NA,NA,BYLU
doncella,Byrsonima,spicata,NA,NA,BYSP
almendrillo,Byrsonima,wadsworthii,NA,NA,BYWA
divi divi,Caesalpinia,coriaria,NA,NA,CACO28
uhiuhi,Caesalpinia,kavaiensis,NA,NA,CAKA5
pride-of-Barbados,Caesalpinia,pulcherrima,NA,NA,CAPU13
sappanwood,Caesalpinia,sappan,NA,NA,CASA28
nicker,Caesalpinia,sppNA,NA,NA,CAESA
Surinamese stickpea,Calliandra,surinamensis,NA,NA,CASU33
caparosa,Callicarpa,ampla,NA,NA,CAAM14
crimson bottlebrush,Callistemon,citrinus,NA,NA,CACI15
weeping bottlebrush,Callistemon,viminalis,NA,NA,CAVI23
Callitris columellaris,Callitris,columellaris,NA,NA,CACO2
incense-cedar,Calocedrus,decurrens,NA,NA,CADE27
Antilles calophyllum,Calophyllum,antillanum,NA,NA,CAAN22
Alexandrian laurel,Calophyllum,inophyllum,NA,NA,CAIN4
tamanu,Calophyllum,neo-ebudicum,NA,NA,CANE31
chesemolech,Calophyllum,pelewense,NA,NA,CAPE15
"olebtaches, chesemolech",Calophyllum,soulattri,NA,NA,CASO12
roostertree,Calotropis,procera,NA,NA,CAPR
degame,Calycophyllum,candidissimum,NA,NA,CACA73
Kiaerskov's lidflower,Calyptranthes,kiaerskovii,NA,NA,CAKI
limoncillo,Calyptranthes,krugii,NA,NA,CAKR
Luquillo forest lidflower,Calyptranthes,luquillensis,NA,NA,CALU12
pale lidflower,Calyptranthes,pallens,NA,NA,CAPA8
Puerto Rico lidflower,Calyptranthes,portoricensis,NA,NA,CAPO9
limoncillo de monte,Calyptranthes,sintenisii,NA,NA,CASI8
Thomas' lidflower,Calyptranthes,thomasiana,NA,NA,CATH3
myrtle of the river,Calyptranthes,zuzygium,NA,NA,CAZU
Puerto Rico manac,Calyptronoma,rivalis,NA,NA,CARI3
"kelela charm, kiu",Campnosperma,brevipetiolatum,NA,NA,CABR18
ilang-ilang,Cananga,odorata,NA,NA,CAOD
mesecheues,Canarium,hirsutum,NA,NA,CAHI14
lukerr,Canarium,indicum,NA,NA,CAIN42
mafoa,Canarium,mafoa,NA,NA,CAHA39
Pili Nut,Canarium,ovatum,NA,NA,CAOV7
maali,Canarium,vitiense,NA,NA,CAVI26
Canarium vulgare,Canarium,vulgare,NA,NA,CAVU9
wild cinnamon,Canella,winterana,NA,NA,CAWI
burro blanco,Capparis,amplissima,NA,NA,CAAM13
caper,Capparis,baducca,NA,NA,CABA2
Jamaican caper,Capparis,cynophallophora,NA,NA,CACY
falseteeth,Capparis,flexuosa,NA,NA,CAFL2
broadleaf caper,Capparis,hastata,NA,NA,CAHA9
linguam,Capparis,indica,NA,NA,CAIN5
Siberian peashrub,Caragana,arborescens,NA,NA,CAAR18
crabwood,Carapa,guianensis,NA,NA,CAGU6
papaya,Carica,papaya,NA,NA,CAPA23
scorpionbush,Carmona,retusa,NA,NA,CARE22
European hornbeam,Carpinus,betulus,NA,NA,CABE8
"American hornbeam, musclewood",Carpinus,caroliniana,NA,NA,CACA18
mockernut hickory,Carya,alba,NA,NA,CAAL27
water hickory,Carya,aquatica,NA,NA,CAAQ2
southern shagbark hickory,Carya,carolinae-septentrionalis,NA,NA,CACA38
bitternut hickory,Carya,cordiformis,NA,NA,CACO15
scrub hickory,Carya,floridana,NA,NA,CAFL6
pignut hickory,Carya,glabra,NA,NA,CAGL8
pecan,Carya,illinoinensis,NA,NA,CAIL2
shellbark hickory,Carya,laciniosa,NA,NA,CALA21
nutmeg hickory,Carya,myristiciformis,NA,NA,CAMY
red hickory,Carya,ovalis,NA,NA,CAOV3
shagbark hickory,Carya,ovata,NA,NA,CAOV2
sand hickory,Carya,pallida,NA,NA,CAPA24
black hickory,Carya,texana,NA,NA,CATE9
fish tail palm,Caryota,mitis,NA,NA,CAMI36
fishtail palm,Caryota,urens,NA,NA,CAUR3
rabo de ranton,Casearia,aculeata,NA,NA,CAAC3
gia verde,Casearia,arborea,NA,NA,CAAR8
keuert,Casearia,cauliflora,NA,NA,CACA28
wild honeytree,Casearia,decandra,NA,NA,CADE11
Guyanese wild coffee,Casearia,guianensis,NA,NA,CAGU2
crackopen,Casearia,sylvestris,NA,NA,CASY2
golden shower,Cassia,fistula,NA,NA,CAFI3
pink shower,Cassia,grandis,NA,NA,CAGR11
apple blossom,Cassia,javanica,NA,NA,CAJA3
gold medallion tree,Cassia,leptophylla,NA,NA,CALE49
marbletree,Cassine,xylocarpa,NA,NA,CAXY
goatwood,Cassipourea,guianensis,NA,NA,CAGU3
Japanese chestnut,Castanea,crenata,NA,NA,CACR27
American chestnut,Castanea,dentata,NA,NA,CADE12
Chinese chestnut,Castanea,mollissima,NA,NA,CAMO83
Allegheny chinkapin,Castanea,pumila,NA,NA,CAPU9
Ozark chinkapin,Castanea,pumila,ozarkensis,NA,CAPUO
European chestnut,Castanea,sativa,NA,NA,CASA27
goatbush,Castela,erecta,NA,NA,CAER3
Panama rubbertree,Castilla,elastica,NA,NA,CAEL5
river sheoak,Casuarina,cunninghamiana,NA,NA,CACU8
beach sheoak,Casuarina,equisetifolia,NA,NA,CAEQ
gray sheoak,Casuarina,glauca,NA,NA,CAGL11
belah,Casuarina,lepidophloia,NA,NA,CALE28
"gagu, australian pine",Casuarina,litorea,NA,NA,CALI8
southern catalpa,Catalpa,bignonioides,NA,NA,CABI8
Haitian catalpa,Catalpa,longissima,NA,NA,CALO8
Chinese catalpa,Catalpa,ovata,NA,NA,CAOV5
northern catalpa,Catalpa,speciosa,NA,NA,CASP8
trumpet tree,Cecropia,obtusifolia,NA,NA,CEOB
pumpwood,Cecropia,schreberiana,NA,NA,CESC9
Spanish cedar,Cedrela,odorata,NA,NA,CEOD
Atlas cedar,Cedrus,atlantica,NA,NA,CEAT4
Deodar cedar,Cedrus,deodara,NA,NA,CEDE2
cedar of Lebanon,Cedrus,libani,NA,NA,CELI6
pochote,Ceiba,acuminata,NA,NA,CEAC4
pochote,Ceiba,aesculifolia,NA,NA,CEAE2
kapoktree,Ceiba,pentandra,NA,NA,CEPE2
sugarberry,Celtis,laevigata,NA,NA,CELA
hackberry,Celtis,occidentalis,NA,NA,CEOC
netleaf hackberry,Celtis,laevigata,reticulata,NA,CELAR
Celtis paniculata,Celtis,paniculata,NA,NA,CEPA6
Chinese hackberry,Celtis,sinensis,NA,NA,CESI8
almex,Celtis,trinervia,NA,NA,CETR3
StNA John's bread,Ceratonia,siliqua,NA,NA,CESI3
emeridech,Cerbera,floribunda,NA,NA,CEFL2
leva,Cerbera,manghas,NA,NA,CEMA20
chiute,Cerbera,odollam,NA,NA,CEOD2
katsura tree,Cercidiphyllum,japonicum,NA,NA,CEJA2
eastern redbud,Cercis,canadensis,NA,NA,CECA4
curlleaf mountain-mahogany,Cercocarpus,ledifolius,NA,NA,CELE3
lady of the night cactus,Cereus,hexagonus,NA,NA,CEHE3
Cereus hildmannianus,Cereus,hildmannianus,NA,NA,CEHI3
biut,Ceriops,tagal,NA,NA,CETA2
orange jessamine,Cestrum,aurantiacum,NA,NA,CEAU2
day jessamine,Cestrum,diurnum,NA,NA,CEDI6
galen del monte,Cestrum,laurifolium,NA,NA,CELA2
night jessamine,Cestrum,nocturnum,NA,NA,CENO
Port-Orford-cedar,Chamaecyparis,lawsoniana,NA,NA,CHLA
Alaska yellow-cedar,Chamaecyparis,nootkatensis,NA,NA,CHNO
hinoki false cypress,Chamaecyparis,obtusa,NA,NA,CHOB8
sawara-cypress,Chamaecyparis,pisifera,NA,NA,CHPI12
Atlantic white-cedar,Chamaecyparis,thyoides,NA,NA,CHTH2
European fan palm,Chamaerops,humilis,NA,NA,CHHU7
jointed sandmat,Chamaesyce,articulata,NA,NA,CHAR8
koko,Chamaesyce,atrococca,NA,NA,CHAT2
ekoko,Chamaesyce,celastroides,NA,NA,CHCE
Herbsts sandmat,Chamaesyce,herbstii,NA,NA,CHHE3
kokomalei,Chamaesyce,kuwaleana,NA,NA,CHKU
alpine sandmat,Chamaesyce,olowaluana,NA,NA,CHOL3
Koolau Range sandmat,Chamaesyce,rockii,NA,NA,CHRO2
Napali coast papala,Charpentiera,densiflora,NA,NA,CHDE3
ellipticleaf papala,Charpentiera,elliptica,NA,NA,CHEL
broadleaf papala,Charpentiera,obovata,NA,NA,CHOB2
Koolau Range papala,Charpentiera,ovata,NA,NA,CHOV2
Waianae Range papala,Charpentiera,tomentosa,NA,NA,CHTO3
Domins club,Cheirodendron,dominii,NA,NA,CHDO3
Fauries club,Cheirodendron,fauriei,NA,NA,CHFA
olapa,Cheirodendron,forbesii,NA,NA,CHFO4
lapalapa,Cheirodendron,platyphyllum,NA,NA,CHPL
olapalapa,Cheirodendron,trigynum,NA,NA,CHTR2
alaweo,Chenopodium,oahuense,NA,NA,CHOA
hueso,Chionanthus,axilliflorus,NA,NA,CHAX2
bridgotree,Chionanthus,compactus,NA,NA,CHCO12
white rosewood,Chionanthus,domingensis,NA,NA,CHDO4
hueso prieto,Chionanthus,holdridgei,NA,NA,CHHO4
cabra blanca,Chionanthus,ligustrinus,NA,NA,CHLI6
Chinese fringetree,Chionanthus,retusus,NA,NA,CHRE9
vitiensis,Chionanthus,vitiensis,NA,NA,CHVI22
puntaj jayuya,Chione,seminervis,NA,NA,CHSE5
fatpork,Chione,venosa,NA,NA,CHVE4
african teak,Chlorophora,excelsa,NA,NA,CHEX5
silk-floss tree,Chorisia,speciosa,NA,NA,CHSP13
icaco coco plum,Chrysobalanus,icaco,NA,NA,CHIC
"giant chinkapin, golden chinkapin",Chrysolepis,chrysophylla,chrysophylla,NA,CHCHC4
bastard redwood,Chrysophyllum,argenteum,NA,NA,CHAR6
star apple,Chrysophyllum,cainito,NA,NA,CHCA10
satinleaf,Chrysophyllum,oliviforme,NA,NA,CHOL
camito de perro,Chrysophyllum,pauciflorum,NA,NA,CHPA31
Chamissos manfern,Cibotium,chamissoi,NA,NA,CICH
hapuu,Cibotium,glaucum,NA,NA,CIGL
Hawaiian tree fern,Cibotium,heleniae,NA,NA,CIHE7
hapuu li,Cibotium,menziesii,NA,NA,CIME8
manfern,Cibotium,sppNA,NA,NA,CIBOT
quinine,Cinchona,pubescens,NA,NA,CIPU
cassia,Cinnamomum,aromaticum,NA,NA,CIAR8
Padang cassia,Cinnamomum,burmannii,NA,NA,CIBU2
camphortree,Cinnamomum,camphora,NA,NA,CICA
ochod,Cinnamomum,carolinense,NA,NA,CICA2
laurel avispillo,Cinnamomum,elongatum,NA,NA,CIEL2
avispillo,Cinnamomum,montanum,NA,NA,CIMO3
ochod,Cinnamomum,pedatinervium,NA,NA,CIPE6
matieu,Cinnamomum,sessilifolium,NA,NA,CISE2
cinnamon,Cinnamomum,verum,NA,NA,CIVE2
juniper berry,Citharexylum,caudatum,NA,NA,CICA8
spiny fiddlewood,Citharexylum,spinosum,NA,NA,CISP3
samoensis,Citronella,samoensis,NA,NA,CISA2
Lime (Tipolo),Citrus,aurantifolia,NA,NA,CIAU
limon china,Citrus,hystrix,NA,NA,CIHY2
"kahet, wild orange",Citrus,macroptera,NA,NA,CIMA10
Citrus maxima,Citrus,maxima,NA,NA,CIMA5
Citrus medica,Citrus,medica,NA,NA,CIME3
"calamondin, kingkang",Citrus,mitis,NA,NA,CIMI3
Citrus reticulata,Citrus,reticulata,NA,NA,CIRE3
citrus sppNA,Citrus,sppNA,NA,NA,CITRU2
key lime,Citrus,x aurantiifolia,NA,NA,CIAU7
sour orange,Citrus,x aurantium,NA,NA,CIAU8
lemon,Citrus,x limon,NA,NA,CILI5
grapefruit,Citrus,x paradisi,NA,NA,CIPA3
sweet orange,Citrus,x sinensis,NA,NA,CISI3
yellowwood,Cladrastis,kentukea,NA,NA,CLKE
koee,Claoxylon,carolinianum,NA,NA,CLCA15
Claoxylon fallax,Claoxylon,fallax,NA,NA,CLFA6
Claoxylon longiracemosum,Claoxylon,longiracemosum,NA,NA,CLLO5
"katteknau, katot",Claoxylon,marianum,NA,NA,CLMA25
poola,Claoxylon,sandwicense,NA,NA,CLSA
Cleistanthus carolinianus,Cleistanthus,carolinianus,NA,NA,CLCA18
Cleistanthus insularis,Cleistanthus,insularis,NA,NA,CLIN8
oha wai nui,Clermontia,arborescens,NA,NA,CLAR4
Kauai clermontia,Clermontia,clermontioides,NA,NA,CLCL
Kohala Mountain clermontia,Clermontia,drepanomorpha,NA,NA,CLDR2
haha aiakamanu,Clermontia,fauriei,NA,NA,CLFA
bog clermontia,Clermontia,grandiflora,NA,NA,CLGR3
oha kepau,Clermontia,hawaiiensis,NA,NA,CLHA4
forest clermontia,Clermontia,kakeana,NA,NA,CLKA
Waipio Valley clermontia,Clermontia,kohalae,NA,NA,CLKO
oha wai nui Clermontia,Clermontia,x leptoclada,NA,NA,CLLE3
hillside clermontia,Clermontia,lindseyana,NA,NA,CLLI3
Maui clermontia,Clermontia,micrantha,NA,NA,CLMI3
Mauna Loa clermontia,Clermontia,montis-loa,NA,NA,CLMO5
Oahu clermontia,Clermontia,oblongifolia,NA,NA,CLOB2
Wailai Pali clermontia,Clermontia,pallida,NA,NA,CLPA6
smallflower clermontia,Clermontia,parviflora,NA,NA,CLPA8
pele clermontia,Clermontia,peleana,NA,NA,CLPE2
Waioiani clermontia,Clermontia,persicifolia,NA,NA,CLPE3
Hamakua clermontia,Clermontia,pyrularia,NA,NA,CLPY2
Clermontia singuliflora,Clermontia,singuliflora,NA,NA,CLSI3
clermontia,Clermontia,sppNA,NA,NA,CLERM
Haleakala clermontia,Clermontia,tuberculata,NA,NA,CLTU2
swampforest clermontia,Clermontia,waimeae,NA,NA,CLWA2
haggarbush,Clerodendrum,aculeatum,NA,NA,CLAC2
rose glorybower,Clerodendrum,bungei,NA,NA,CLBU
Natal glorybower,Clerodendrum,glabrum,NA,NA,CLGL2
velvetleaf glorybower,Clerodendrum,macrostegium,NA,NA,CLMA24
glorybower,Clerodendrum,sppNA,NA,NA,CLERO2
teta prieta,Cleyera,albopunctata,NA,NA,CLAL4
jackass breadnut,Clibadium,erosum,NA,NA,CLER
Clidemia cymosa,Clidemia,cymosa,NA,NA,CLCY5
"kiniyaw, ochop",Clinostigma,carolinense,NA,NA,CLCA21
Philippine pigeonwings,Clitoria,fairchildiana,NA,NA,CLFA5
cupeillo,Clusia,clusioides,NA,NA,CLCL2
Grundlach's attorney,Clusia,gundlachii,NA,NA,CLGU
cupey de monte,Clusia,minor,NA,NA,CLMI2
Scotch attorney,Clusia,rosea,NA,NA,CLRO
treadsoftly,Cnidoscolus,aconitifolius,NA,NA,CNAC
uvilla,Coccoloba,costata,NA,NA,COCO8
"tietongue, pigeon-plum",Coccoloba,diversifolia,NA,NA,CODI8
whitewood,Coccoloba,krugii,NA,NA,COKR
puckhout,Coccoloba,microstachya,NA,NA,COMI
pale seagrape,Coccoloba,pallida,NA,NA,COPA24
grandleaf seagrape,Coccoloba,pubescens,NA,NA,COPU
uvera,Coccoloba,pyrifolia,NA,NA,COPY
ortegon,Coccoloba,rugosa,NA,NA,CORU4
uvero de monte,Coccoloba,sintenisii,NA,NA,COSI2
Swartz's pigeonplum,Coccoloba,swartzii,NA,NA,COSW
Bahama pigeonplum,Coccoloba,tenuifolia,NA,NA,COTE9
seagrape,Coccoloba,uvifera,NA,NA,COUV
false chiggergrape,Coccoloba,venosa,NA,NA,COVE
Florida silver palm,Coccothrinax,argentata,NA,NA,COAR
Coccothrinax barbadensis,Coccothrinax,barbadensis,NA,NA,COBA3
silk cottontree,Cochlospermum,vitifolium,NA,NA,COVI
coconut palm,Cocos,nucifera,NA,NA,CONU
garden croton,Codiaeum,variegatum,NA,NA,COVA3
Arabian coffee,Coffea,arabica,NA,NA,COAR2
Coffea liberica,Coffea,liberica,NA,NA,COLI8
robusta coffee,Coffea,robusta,NA,NA,CORO8
Cojoba arborea,Cojoba,arborea,NA,NA,COAR9
abata cola,Cola,acuminata,NA,NA,COAC4
"uab, chuchab",Colona,scabra,NA,NA,COSC13
common snakebark,Colubrina,arborescens,NA,NA,COAR3
soldierwood,Colubrina,elliptica,NA,NA,COEL2
kauila,Colubrina,oppositifolia,NA,NA,COOP
bladder senna,Colutea,arborescens,NA,NA,COAR6
Mao,Commersonia,bartramia,NA,NA,COBA17
poison ash,Comocladia,dodonaea,NA,NA,CODO
carrasco,Comocladia,glabra,NA,NA,COGL4
Bluewood,Condalia,hookeri,NA,NA,COHO
buttonwood-mangrove,Conocarpus,erectus,NA,NA,COER2
Luquillo Mountain snailwood,Conostegia,rufescens,NA,NA,CORU17
Consolea moniliformis,Consolea,moniliformis,NA,NA,COMO8
Consolea rubescens,Consolea,rubescens,NA,NA,CORU8
copaiba,Copaifera,officinalis,NA,NA,COOF2
forest mirrorplant,Coprosma,foliosa,NA,NA,COFO2
koi,Coprosma,kauensis,NA,NA,COKA
Oahu mirrorplant,Coprosma,longifolia,NA,NA,COLO4
alpine mirrorplant,Coprosma,montana,NA,NA,COMO3
Maui mirrorplant,Coprosma,ochracea,NA,NA,COOC3
pubescent mirrorplant,Coprosma,pubens,NA,NA,COPU8
woodland mirrorplant,Coprosma,rhynchocarpa,NA,NA,CORH
mirrorplant,Coprosma,sppNA,NA,NA,COPRO
olena,Coprosma,waimeae,NA,NA,COWA4
Spanish elm,Cordia,alliodora,NA,NA,COAL
Tou,Cordia,aspera,NA,NA,COAS6
Anacahuita Texas Olive,Cordia,boissieri,NA,NA,COBO2
muneco,Cordia,borinquensis,NA,NA,COBO3
red manjack,Cordia,collococca,NA,NA,COCO5
fragrant manjack,Cordia,dichotoma,NA,NA,CODI18
smooth manjack,Cordia,laevigata,NA,NA,COLA12
Cordia micronesica,Cordia,micronesica,NA,NA,COMI6
clammy cherry,Cordia,obliqua,NA,NA,COOB3
San Bartolome,Cordia,rickseckeri,NA,NA,CORI
largeleaf geigertree,Cordia,sebestena,NA,NA,COSE2
kou,Cordia,subcordata,NA,NA,COSU2
mucilage manjack,Cordia,sulcata,NA,NA,COSU3
tiplant,Cordyline,fruticosa,NA,NA,COFR2
flowering dogwood,Cornus,florida,NA,NA,COFL2
kousa dogwood,Cornus,kousa,NA,NA,COKO2
Pacific dogwood,Cornus,nuttallii,NA,NA,CONU4
nigua,Cornutia,obovata,NA,NA,COOB4
azulejo,Cornutia,pyramidata,NA,NA,COPY2
Turkish hazelnut,Corylus,colurna,NA,NA,COCO30
redgum,Corymbia,calophylla,NA,NA,COCA48
Corymbia citriodora,Corymbia,citriodora,NA,NA,COCI4
redflower gum,Corymbia,ficifolia,NA,NA,COFI7
red bloodwood,Corymbia,gummifera,NA,NA,COGU4
karaka nut,Corynocarpus,laevigatus,NA,NA,COLA6
European smoketree,Cotinus,coggygria,NA,NA,COCO10
smoketree,Cotinus,obovatus,NA,NA,COOB2
cannonball tree,Couroupita,guianensis,NA,NA,COGU3
Brainerd's hawthorn,Crataegus,brainerdii,NA,NA,CRBR3
pear hawthorn,Crataegus,calpodendron,NA,NA,CRCA
fireberry hawthorn,Crataegus,chrysocarpa,NA,NA,CRCH
cockspur hawthorn,Crataegus,crus-galli,NA,NA,CRCR2
broadleaf hawthorn,Crataegus,dilatata,NA,NA,CRDI
fanleaf hawthorn,Crataegus,flabellata,NA,NA,CRFL
downy hawthorn,Crataegus,mollis,NA,NA,CRMO2
oneseed hawthorn,Crataegus,monogyna,NA,NA,CRMO3
scarlet hawthorn,Crataegus,pedicellata,NA,NA,CRPE
hawthorn sppNA,Crataegus,sppNA,NA,NA,CRATA
fleshy hawthorn,Crataegus,succulenta,NA,NA,CRSU5
dwarf hawthorn,Crataegus,uniflora,NA,NA,CRUN
sacred garlic pear,Crateva,religiosa,NA,NA,CRRE12
"houka, calabash",Crescentia,alata,NA,NA,CRAL11
common calabash tree,Crescentia,cujete,NA,NA,CRCU
higuerito,Crescentia,linearifolia,NA,NA,CRLI5
higuero de sierra,Crescentia,portoricensis,NA,NA,CRPO6
Critonia portoricensis,Critonia,portoricensis,NA,NA,CRPO7
maidenberry,Crossopetalum,rhacoma,NA,NA,CRRH
Saitamu,Crossostylis,biflora,NA,NA,CRBI9
longbeak rattlebox,Crotalaria,longirostrata,NA,NA,CRLO3
wild marrow,Croton,astroites,NA,NA,CRAS3
Croton flavens,Croton,flavens,NA,NA,CRFL23
sabinon,Croton,poecilanthus,NA,NA,CRPO4
laulilii,Cryptocarya,elegans,NA,NA,CREL8
holio,Cryptocarya,mannii,NA,NA,CRMA8
Cryptocarya oreophila,Cryptocarya,oreophila,NA,NA,CROR5
laulilii,Cryptocarya,turbinata,NA,NA,CRTU4
Japanese cedar,Cryptomeria,japonica,NA,NA,CRJA3
storehousebush,Cudrania,tricuspidata,NA,NA,CUTR2
Chinese fir,Cunninghamia,lanceolata,NA,NA,CULA
wild ackee,Cupania,americana,NA,NA,CUAM
guara blanca,Cupania,triquetra,NA,NA,CUTR
carrotwood,Cupaniopsis,anacardioides,NA,NA,CUAN4
Leyland cypress,Cupressocyparis,leylandii,NA,NA,CULE2
Arizona cypress,Cupressus,arizonica,NA,NA,CUAR
Baker or Modoc cypress,Cupressus,bakeri,NA,NA,CUBA
Tecate cypress,Cupressus,forbesii,NA,NA,CUFO2
cedar-of-Goa,Cupressus,lusitanica,NA,NA,CULU2
MacNab's cypress,Cupressus,macnabiana,NA,NA,CUMA
Monterey cypress,Cupressus,macrocarpa,NA,NA,CUMA2
Sargent's cypress,Cupressus,sargentii,NA,NA,CUSA3
Italian cypress,Cupressus,sempervirens,NA,NA,CUSE2
Haleakala cyanea,Cyanea,aculeatiflora,NA,NA,CYAC4
palmtree cyanea,Cyanea,arborea,NA,NA,CYAR10
Kauai cyanea,Cyanea,fissa,NA,NA,CYFI6
Degeners cyanea,Cyanea,floribunda,NA,NA,CYFL4
Kilauea Mauna cyanea,Cyanea,giffardii,NA,NA,CYGI5
wetforest cyanea,Cyanea,hamatiflora,NA,NA,CYHA6
Oahu cyanea,Cyanea,hardyi,NA,NA,CYHA7
prickly cyanea,Cyanea,horrida,NA,NA,CYHO6
Limahuli Valley cyanea,Cyanea,kuhihewa,NA,NA,CYKU3
Kunths cyanea,Cyanea,kunthiana,NA,NA,CYKU
giant kokee cyanea,Cyanea,leptostegia,NA,NA,CYLE5
purple cyanea,Cyanea,macrostegia,NA,NA,CYMA10
Marks cyanea,Cyanea,marksii,NA,NA,CYMA14
hairy cyanea,Cyanea,pilosa,NA,NA,CYPI4
pohaku cyanea,Cyanea,pohaku,NA,NA,CYPO5
Molokai cyanea,Cyanea,procera,NA,NA,CYPR8
manyfruit cyanea,Cyanea,pycnocarpa,NA,NA,CYPY
oakleaf cyanea,Cyanea,quercifolia,NA,NA,CYQU
plateau delissea,Cyanea,rivularis,NA,NA,CYRI4
pua kala,Cyanea,solenocalyx,NA,NA,CYSO2
cyanea,Cyanea,sppNA,NA,NA,CYANE
Kaiholena cyanea,Cyanea,stictophylla,NA,NA,CYST5
MtNA Kaala cyanea,Cyanea,superba,NA,NA,CYSU8
aku aku,Cyanea,tritomantha,NA,NA,CYTR6
parrotfeather treefern,Cyathea,andina,NA,NA,CYAN
West Indian treefern,Cyathea,arborea,NA,NA,CYAR
Coopers cyathea,Cyathea,cooperi,NA,NA,CYCO18
olioli,Cyathea,decurrens,NA,NA,CYDE16
Jamaican treefern,Cyathea,furfuracea,NA,NA,CYFU
olioli,Cyathea,lunulata,NA,NA,CYLU5
olioli,Cyathea,medullaris,NA,NA,CYME12
kattar,Cyathea,nigricans,NA,NA,CYNI7
small treefern,Cyathea,parvula,NA,NA,CYPA7
kattar,Cyathea,ponapeana,NA,NA,CYPO11
helecho gigante,Cyathea,tenera,NA,NA,CYTE10
olioli,Cyathea,truncata,NA,NA,CYTR11
Cybianthus sintenisii,Cybianthus,sintenisii,NA,NA,CYSI
queen sago,Cycas,circinalis,NA,NA,CYCI3
